;t;∆t;x1;x2;x3;y
533;533,2;1,04;1,33;4,85;3,41;-1,73
534;534,01;0,81;4,14;2,25;3,74;-20,67
535;535,03;1,02;0,67;4,99;4,48;-0,27
536;536,16;1,13;2,19;4,77;4,44;-22,37
537;537,01;0,85;2,47;2,37;3,68;-20,53
538;537,89;0,88;2,03;2,06;4,18;-1,71
539;538,93;1,04;0,98;4,93;3,63;-1,81
540;540,03;1,1;2,5;1,11;2,86;-21,75
541;541;0,97;1,91;4,27;3,73;2,58
542;542,02;1,02;2,41;0,6;3,41;-14,49
543;543,13;1,11;1,84;3,64;3,08;3,18
544;543,92;0,79;4,18;3,43;1,6;-10,08
545;545,07;1,15;4,46;2,74;0,25;-3,66
546;546,14;1,07;2,07;4,48;3,37;-0,31
547;547;0,86;4,83;0,49;2,78;-17,47
548;548,16;1,16;2,41;0,38;0,29;2,54
549;549,13;0,97;4,72;3,16;4,32;4
550;550,04;0,91;3,49;3,46;4,7;-1,74
551;550,92;0,88;1,25;4,56;2,43;-9,39
552;552,03;1,11;1,49;2,9;3,85;-18,2
553;552,97;0,94;3,71;2,25;4,97;-5,22
554;554,09;1,12;1,75;4,74;2,37;-0,13
555;555,14;1,05;0,95;2,72;2,1;-19,27
556;556,17;1,03;1,33;4,55;4,95;-4,27
557;557,15;0,98;0,87;2,48;1,3;-18,14
558;558,08;0,93;2,85;2,63;2,29;-4,09
559;559,05;0,97;3,35;3,62;3,57;-2,88
560;560,03;0,98;2,04;0,57;4,79;-10,4
561;561,13;1,1;3,46;3,66;2,39;2,83
562;562;0,87;0,54;1,12;0,8;-9,25
563;563,19;1,19;0,42;2,07;2,22;0,94
564;564,02;0,83;0,76;2,84;2,73;-1,75
565;565,22;1,2;4,01;0,52;0,81;-4,81
566;566,03;0,81;0,19;0,71;0,27;3,17
567;567,03;1;4,92;3,29;1,64;1,52
568;568,05;1,02;0,52;2,16;4,76;-7,03
569;568,96;0,91;3,26;3,86;0,61;-1,62
570;569,98;1,02;1,78;4,4;4,81;-10,96
571;571,2;1,22;3,61;4,13;0,81;-16,4
572;572,12;0,92;1,7;0,8;1,37;-14,34
573;573,1;0,98;3,29;1,93;3,28;1,88
574;574,02;0,92;4,5;2,22;0,05;0,38
575;575,22;1,2;3,56;1,55;1,22;0,42
576;576,11;0,89;3,77;2,39;1,2;1,75
577;577,06;0,95;3,31;4,62;4,26;-2,91
578;577,99;0,93;1,28;0,1;1,12;-18,67
579;579,16;1,17;1,61;4,68;1,32;3,11
580;579,88;0,72;1,18;0,86;3,6;-18,71
581;580,98;1,1;4,93;2,94;3,47;1,75
582;582,02;1,04;0,76;1,06;1,26;-2,61
583;583,13;1,11;2,8;2,61;4,59;1,02
584;584,14;1,01;3,74;2,85;4,28;-2,11
585;585,1;0,96;0,74;1,49;4,7;-5,66
586;586,07;0,97;4,77;0,81;0,26;0,77
587;587,07;1;2,86;1,01;4,69;11,65
588;587,97;0,9;1,69;1,4;0,74;2,6
589;589,13;1,16;1,04;1,3;0,37;-0,23
590;589,96;0,83;1,47;1,98;1,9;1,79
591;591,05;1,09;3,97;4,96;3,82;-0,24
592;592,02;0,97;0,89;3,72;0,61;-22,99
593;593,11;1,09;3,79;1,34;0,3;-10,78
594;594,14;1,03;3,54;4,05;1,09;4,73
595;595,12;0,98;4,03;1,36;2,85;-13,37
596;595,96;0,84;0,88;1,36;1,39;0,89
597;597,1;1,14;3,35;2,93;4,89;0,42
598;598,12;1,02;2,86;0,37;4,06;-4,36
599;598,96;0,84;3,08;3,18;1,74;2,46
